iter	CrossEntropy
737	0.4047974277
738	0.4047606262
739	0.4047056402
740	0.4045269453
741	0.4044606041
742	0.4043496619
743	0.4042922788
744	0.4042217133
745	0.4039292138
746	0.4038774671
747	0.4038390397
748	0.4037573983
749	0.403657837
750	0.4034461724
751	0.4030366608
752	0.402928212
753	0.4028664836
754	0.4027129625
755	0.4025994292
756	0.4023555075
757	0.4022929163
758	0.4022327629
759	0.4021582779
760	0.4021092262
761	0.4018909503
762	0.4018550152
763	0.4018257433
764	0.4017704843
765	0.401634324
766	0.4016112123
767	0.4015248812
768	0.4013718729
769	0.4011497132
770	0.4010750526
771	0.4010102365
772	0.4006054565
773	0.4003042367
774	0.4000203409
775	0.3996698768
776	0.3996108669
777	0.3994649159
778	0.3991497634
779	0.3990043424
780	0.3987339354
781	0.3986262918
782	0.3985481841
783	0.3984449857
784	0.3980613984
785	0.3979457019
786	0.3979009592
787	0.3977595675
788	0.397174696
789	0.3970628476
790	0.3968155179
791	0.3964908672
792	0.3962497881
793	0.3960029762
794	0.3959540062
795	0.3957526274
796	0.3955463485
797	0.3954931
798	0.3952082356
799	0.3949369558
800	0.3948767259
801	0.3947716445
802	0.3946663265
803	0.39461274
804	0.3944581987
805	0.3944115893
806	0.3941154691
807	0.3940200266
808	0.3939191801
809	0.3938627661
810	0.3936178805
811	0.3935592108
812	0.3934452359
813	0.3934004219
814	0.3931952921
815	0.393162835
816	0.3931181493
817	0.3928805
818	0.3926681811
819	0.3926166971
820	0.3925541947
821	0.3925123391
822	0.3923954992
823	0.3923508404
824	0.392256934
825	0.3922049682
826	0.3921599178
827	0.3920454954
828	0.3918088034
829	0.3916330288
830	0.3916041414
831	0.391537714
832	0.3915036188
833	0.3913578761
834	0.391335051
835	0.3912081882
836	0.3910383752
837	0.3908337725
838	0.3908069254
839	0.3907743904
840	0.3906279284
841	0.3905072077
842	0.3904703217
843	0.3903115855
844	0.3902847206
845	0.3899775627
846	0.3898870676
847	0.3898464981
848	0.3896888025
849	0.3896223768
850	0.389585173
851	0.3894731586
852	0.3893278049
853	0.3889239081
854	0.3886718135
855	0.3886436219
856	0.388604993
857	0.3885740027
858	0.3884298098
859	0.388386348
860	0.3883494054
861	0.3882002501
862	0.3881102358
863	0.3879157504
864	0.3878530816
865	0.3875377659
866	0.3874842695
867	0.3873603093
868	0.3873136563
869	0.3870987586
870	0.3870006377
871	0.386828721
872	0.3867770774
873	0.3867369626
874	0.3867137696
875	0.3866663993
876	0.3866280359
877	0.3865767677
878	0.3864530099
879	0.3863012708
880	0.386204446
881	0.386056557
882	0.3858582833
883	0.3858390814
884	0.3856167285
885	0.3855702171
886	0.3852111528
887	0.3851213249
888	0.3850448481
889	0.3847981684
890	0.3846887837
891	0.3845939549
892	0.3845464665
893	0.3845070135
894	0.3844139867
895	0.3841532404
896	0.3840026834
897	0.3838474603
898	0.3837217484
899	0.3834981864
900	0.3834590307
901	0.3833624511
902	0.3832496533
903	0.3831813545
904	0.3828965092
905	0.3827084814
906	0.3825806643
907	0.382534863
908	0.3824248947
909	0.3823654905
910	0.3822751066
911	0.3820341679
912	0.3818183482
913	0.3815072999
914	0.3813187746
915	0.3811572438
916	0.3810643092
917	0.3809304266
918	0.3808267821
919	0.380786884
920	0.3804872118
921	0.3803940039
922	0.3799522199
923	0.3798250977
924	0.3797832954
925	0.3797299049
926	0.3796346902
927	0.3795882922
928	0.3793215938
929	0.3792571406
930	0.3788950615
931	0.3788027744
932	0.3786518784
933	0.378604582
934	0.3782715544
935	0.378236941
936	0.3779625499
937	0.3778218474
938	0.3777827344
939	0.3774237142
940	0.3773772599
941	0.3773355495
942	0.3769719692
943	0.3768432333
944	0.3766775409
945	0.3764702796
946	0.3761237588
947	0.3760881018
948	0.375911564
949	0.3758553106
950	0.3756890651
951	0.3755872372
952	0.3753903414
953	0.3753522208
954	0.3752980783
955	0.3750448467
956	0.3747764926
957	0.3746964623
958	0.374678374
959	0.3746406739
960	0.3744106975
961	0.3742679366
962	0.3741058848
963	0.3740563326
964	0.3738482857
965	0.3737487341
966	0.3736985868
967	0.3736468892
968	0.3736139993
969	0.3735239421
970	0.3734970624
971	0.3732355488
972	0.3731601821
973	0.3729792208
974	0.3725280275
975	0.3724938572
976	0.3723543918
977	0.3723258149
978	0.3720757603
979	0.371929474
980	0.3719056346
981	0.3718549666
982	0.3718303457
983	0.3717498115
984	0.3716025046
985	0.3714974589
986	0.3714601807
987	0.3711129217
988	0.3709873526
989	0.3707897396
990	0.370697335
991	0.3703989598
992	0.3703697387
993	0.3703285649
994	0.3701836282
995	0.3701258202
996	0.3700254753
997	0.3697556705
998	0.3695875787
999	0.3695265446
